,DHI,DirectHI,T,WS,p,GHI,DNI
2018-01-01 00:30:00+01:00,0.0,0.0,0.7765198,1.9965864,99623.28,0.0,0.0
2018-01-01 01:30:00+01:00,0.0,0.0,0.69400024,1.663029,99695.7,0.0,0.0
2018-01-01 02:30:00+01:00,0.0,0.0,0.8097534,1.6773347,99648.95,0.0,0.0
2018-01-01 03:30:00+01:00,0.0,0.0,0.9508362,1.0594709,99613.16,0.0,0.0
2018-01-01 04:30:00+01:00,0.0,0.0,0.8713074,0.53467965,99619.984,0.0,0.0
2018-01-01 05:30:00+01:00,3.171875,0.04296875,0.6300354,0.7807318,99688.39,3.2148438,0.8210177683682455
2018-01-01 06:30:00+01:00,54.58203,1.03125,0.57876587,1.4443196,99686.9,55.61328,19.704426440837892
2018-01-01 07:30:00+01:00,39.414062,0.0,0.76651,1.4012513,99680.625,39.414062,0.0
2018-01-01 08:30:00+01:00,44.757812,0.0,0.7904358,1.3804326,99723.766,44.757812,0.0
2018-01-01 09:30:00+01:00,85.8125,0.0078125,1.1261292,0.93348837,99725.78,85.82031,0.1090120299912504
2018-01-01 10:30:00+01:00,59.671875,0.0,1.851471,1.0004101,99693.17,59.671875,0.0
2018-01-01 11:30:00+01:00,34.765625,0.0,2.2948303,0.99651396,99699.95,34.765625,0.0
2018-01-01 12:30:00+01:00,40.804688,0.0,2.5028381,1.8778483,99701.164,40.804688,0.0
2018-01-01 13:30:00+01:00,7.0,0.0,2.207428,2.7025511,99662.12,7.0,0.0
2018-01-01 14:30:00+01:00,0.0,0.0,1.5497131,2.766075,99640.28,0.0,0.0
2018-01-01 15:30:00+01:00,0.0,0.0,1.4015198,2.0170498,99666.24,0.0,0.0
2018-01-01 16:30:00+01:00,0.0,0.0,1.5519104,2.3116384,99645.484,0.0,0.0
2018-01-01 17:30:00+01:00,0.0,0.0,1.5387268,2.3935587,99629.39,0.0,0.0
2018-01-01 18:30:00+01:00,0.0,0.0,1.504303,3.316061,99569.67,0.0,0.0
2018-01-01 19:30:00+01:00,0.0,0.0,1.2328186,2.9591181,99585.8,0.0,0.0
2018-01-01 20:30:00+01:00,0.0,0.0,1.0978088,2.8427377,99622.7,0.0,0.0
2018-01-01 21:30:00+01:00,0.0,0.0,1.3583069,3.6933336,99610.39,0.0,0.0
2018-01-01 22:30:00+01:00,0.0,0.0,1.4317932,4.0595517,99550.72,0.0,0.0
2018-01-01 23:30:00+01:00,0.0,0.0,1.2044983,3.7147624,99541.66,0.0,0.0
2018-01-02 00:30:00+01:00,0.0,0.0,1.6590271,3.5885239,99570.64,0.0,0.0
2018-01-02 01:30:00+01:00,0.0,0.0,1.3603821,4.041131,99528.05,0.0,0.0
2018-01-02 02:30:00+01:00,0.0,0.0,0.9946594,4.574137,99472.625,0.0,0.0
2018-01-02 03:30:00+01:00,0.0,0.0,1.0834045,4.375014,99444.55,0.0,0.0
2018-01-02 04:30:00+01:00,0.0,0.0,1.173645,4.3299036,99421.25,0.0,0.0
2018-01-02 05:30:00+01:00,0.95703125,0.0,1.1352234,4.2280083,99450.12,0.95703125,0.0
2018-01-02 06:30:00+01:00,16.457031,0.0,1.6388855,4.857039,99491.15,16.457031,0.0
2018-01-02 07:30:00+01:00,35.820312,0.0,1.7388306,4.4946394,99446.69,35.820312,0.0
2018-01-02 08:30:00+01:00,42.28125,0.0,1.9937439,4.5868716,99445.33,42.28125,0.0
2018-01-02 09:30:00+01:00,52.359375,0.0,2.6610718,4.5580444,99483.9,52.359375,0.0
2018-01-02 10:30:00+01:00,88.97656,0.0390625,3.401703,4.2770915,99436.016,89.015625,0.23366998606207853
2018-01-02 11:30:00+01:00,101.234375,2.890625,3.7068481,4.287609,99433.41,104.125,12.49858433045309
2018-01-02 12:30:00+01:00,58.703125,0.46875,3.8907776,4.5337706,99350.19,59.171875,1.8090006920846566
2018-01-02 13:30:00+01:00,6.8125,0.0,3.1961975,3.7402787,99337.14,6.8125,0.0
2018-01-02 14:30:00+01:00,0.0,0.0,2.771637,3.6345248,99368.875,0.0,0.0
2018-01-02 15:30:00+01:00,0.0,0.0,2.3668518,3.8932345,99386.68,0.0,0.0
2018-01-02 16:30:00+01:00,0.0,0.0,1.9408264,4.091409,99368.78,0.0,0.0
2018-01-02 17:30:00+01:00,0.0,0.0,1.832428,3.5393927,99371.11,0.0,0.0
2018-01-02 18:30:00+01:00,0.0,0.0,2.8700256,4.291222,99345.12,0.0,0.0
2018-01-02 19:30:00+01:00,0.0,0.0,2.7765198,3.6282551,99313.08,0.0,0.0
2018-01-02 20:30:00+01:00,0.0,0.0,2.7324524,3.7735472,99314.49,0.0,0.0
2018-01-02 21:30:00+01:00,0.0,0.0,2.6004333,3.8744855,99292.78,0.0,0.0
2018-01-02 22:30:00+01:00,0.0,0.0,2.4044495,4.1612525,99243.26,0.0,0.0
2018-01-02 23:30:00+01:00,0.0,0.0,2.2625122,5.17335,99217.88,0.0,0.0
2018-01-03 00:30:00+01:00,0.0,0.0,2.4478455,5.0283813,99178.734,0.0,0.0
2018-01-03 01:30:00+01:00,0.0,0.0,2.318634,4.5239224,99126.234,0.0,0.0
2018-01-03 02:30:00+01:00,0.0,0.0,2.329193,3.8389153,99106.11,0.0,0.0
2018-01-03 03:30:00+01:00,0.0,0.0,2.5677795,3.7747483,99112.234,0.0,0.0
2018-01-03 04:30:00+01:00,0.0,0.0,2.7831116,4.2941284,99092.9,0.0,0.0
2018-01-03 05:30:00+01:00,0.36328125,0.0,2.82193,4.4256086,99078.15,0.36328125,0.0
2018-01-03 06:30:00+01:00,4.78125,0.0,3.250885,3.6219914,99108.484,4.78125,0.0
2018-01-03 07:30:00+01:00,17.078125,0.0,3.4073792,3.572417,99087.16,17.078125,0.0
2018-01-03 08:30:00+01:00,26.382812,0.0,3.7025452,3.660122,99026.1,26.382812,0.0
2018-01-03 09:30:00+01:00,15.7890625,0.0,3.856598,3.6879985,99008.84,15.7890625,0.0
2018-01-03 10:30:00+01:00,14.46875,0.0,3.7999573,3.5201874,98937.484,14.46875,0.0
2018-01-03 11:30:00+01:00,20.359375,0.0,3.9882507,3.7637808,98870.625,20.359375,0.0
2018-01-03 12:30:00+01:00,8.7578125,0.0,4.300995,3.6465948,98840.92,8.7578125,0.0
2018-01-03 13:30:00+01:00,1.6953125,0.0,4.323456,3.7548556,98837.54,1.6953125,0.0
2018-01-03 14:30:00+01:00,0.0,0.0,4.4192505,3.3999825,98833.03,0.0,0.0
2018-01-03 15:30:00+01:00,0.0,0.0,4.535187,3.6521327,98861.87,0.0,0.0
2018-01-03 16:30:00+01:00,0.0,0.0,4.6075745,3.3373272,98875.73,0.0,0.0
2018-01-03 17:30:00+01:00,0.0,0.0,4.740387,3.46878,98859.36,0.0,0.0
2018-01-03 18:30:00+01:00,0.0,0.0,4.651764,3.2186062,98855.36,0.0,0.0
2018-01-03 19:30:00+01:00,0.0,0.0,4.452057,2.9421558,98838.17,0.0,0.0
2018-01-03 20:30:00+01:00,0.0,0.0,4.257965,3.1843352,98816.08,0.0,0.0
2018-01-03 21:30:00+01:00,0.0,0.0,4.100006,3.6123035,98838.43,0.0,0.0
2018-01-03 22:30:00+01:00,0.0,0.0,3.834137,2.8607676,98803.55,0.0,0.0
2018-01-03 23:30:00+01:00,0.0,0.0,3.8175354,2.6932538,98733.11,0.0,0.0
2018-01-04 00:30:00+01:00,0.0,0.0,3.757965,1.911065,98689.29,0.0,0.0
2018-01-04 01:30:00+01:00,0.0,0.0,3.820465,2.9332192,98676.74,0.0,0.0
2018-01-04 02:30:00+01:00,0.0,0.0,3.738922,2.77973,98656.39,0.0,0.0
2018-01-04 03:30:00+01:00,0.0,0.0,3.6859436,1.7142555,98650.83,0.0,0.0
2018-01-04 04:30:00+01:00,0.0,0.0,3.5846252,2.1019135,98613.8,0.0,0.0
2018-01-04 05:30:00+01:00,0.8671875,0.0,3.4493713,1.0440862,98677.6,0.8671875,0.0
2018-01-04 06:30:00+01:00,10.4140625,0.0,3.582428,1.0833262,98722.19,10.4140625,0.0
2018-01-04 07:30:00+01:00,38.554688,0.0,3.7762756,1.9480073,98704.984,38.554688,0.0
2018-01-04 08:30:00+01:00,36.960938,0.0,3.9947815,1.7150444,98724.35,36.960938,0.0
2018-01-04 09:30:00+01:00,54.742188,0.0,4.282379,2.0957441,98721.13,54.742188,0.0
2018-01-04 10:30:00+01:00,61.578125,0.0,4.4598694,1.6470587,98667.47,61.578125,0.0
2018-01-04 11:30:00+01:00,50.28125,0.0,4.5819397,1.2219878,98665.06,50.28125,0.0
2018-01-04 12:30:00+01:00,16.007812,0.0,4.5819397,1.2518414,98714.36,16.007812,0.0
2018-01-04 13:30:00+01:00,1.78125,0.0,4.3507385,0.7196763,98778.09,1.78125,0.0
